$R_m$, M	$n$	$U$, B	$\lambda$	$\lambda_{ср}$	$\delta$	$Q$	$\tau$	$R$, Om	$L$, Hn	$C, \Phi$
0,00	0,00	0,01000	-	0,07	105,00	46,03	0,02	22,16	0,11	1,02 \cdot 10^{-7}
	5,00	0,00800	0,04							
	10,00	0,00450	0,08							
	15,00	0,00300	0,08							
4,00	0,00	0,00950	-	0,09	140,73	34,34	0,03	26,16	0,09	1,15 \cdot 10^{-7}
	5,00	0,00600	0,09							
	10,00	0,00400	0,09							
	15,00	0,00225	0,10							
8,00	0,00	0,00950	-	0,11	165,30	29,24	0,03	30,16	0,09	1,17 \cdot 10^{-7}
	5,00	0,00525	0,12							
	10,00	0,00350	0,10							
	15,00	0,00200	0,10							
12,00	0,00	0,00950	-	0,12	182,78	26,44	0,04	34,16	0,09	1,15 \cdot 10^{-7}
	5,00	0,00500	0,13							
	10,00	0,00300	0,12							
	15,00	0,00175	0,11							
16,00	0,00	0,00925	-	0,13	192,76	25,07	0,04	38,16	0,10	1,08 \cdot 10^{-7}
	5,00	0,00475	0,13							
	10,00	0,00275	0,12							
	15,00	0,00150	0,12							
20,00	0,00	0,00900	-	0,14	215,71	22,41	0,04	42,16	0,10	1,10 \cdot 10^{-7}
	5,00	0,00450	0,14							
	10,00	0,00200	0,15							
	15,00	0,00125	0,13							
