\No	$V_ц$, мл	$\Delta P_1$, кПа	$\Delta P_2$, кПа	$P$, кПа	$\frac1P$, кПа${}^{-1}$
1	50	9,9	10	111,738810785	0,0089494419
2	60	-5,2	-5,8	96,288810785	0,0103854227
3	70	-16,5	-16,3	85,388810785	0,0117111363
4	80	-25,6	-25,7	76,138810785	0,0131339062
5	90	-33,7	-35,7	67,088810785	0,0149056152
6	100	-40	-40,5	61,538810785	0,0162499078
7	110	-44	-45,1	57,238810785	0,0174706635
8	120	-49,7	-49,6	52,138810785	0,0191795706
9	130	-53,3	-53,3	48,488810785	0,0206233146
10	140	-56,6	-56,5	45,238810785	0,0221049135
