\No	$V_ц$, мл	$\Delta P_1$, кПа	$\Delta P_2$, кПа	$P$, кПа	$\frac1P$, кПа${}^{-1}$
1	50	3,3	3,1	104,988810785	0,0095248245
2	60	-10,7	-9,7	91,588810785	0,0109183643
3	70	-21,1	-21,1	80,688810785	0,0123932921
4	80	-30	-30,2	71,688810785	0,0139491782
5	90	-37,2	-37,3	64,538810785	0,0154945526
6	100	-42,9	-43,2	58,738810785	0,017024519
7	110	-47,9	-48	53,838810785	0,0185739615
8	120	-52,1	-52	49,738810785	0,0201050243
9	130	-55,6	-55,6	46,188810785	0,0216502651
10	140	-58,7	-58,8	43,038810785	0,0232348427
